"","Gene Symbol","Representative miRNA"
"142766","ADAM28","hsa-miR-7844-5p"
"142767","ADAM28","hsa-miR-548av-3p"
"142768","ADAM28","hsa-miR-548g-3p"
"142769","ADAM28","hsa-miR-3133"
"142770","ADAM28","hsa-miR-186-5p"
"142771","ADAM28","hsa-miR-4311"
"142772","ADAM28","hsa-miR-6835-3p"
"142773","ADAM28","hsa-miR-4422"
"142774","ADAM28","hsa-miR-320a"
"142775","ADAM28","hsa-miR-6768-3p"
"142776","ADAM28","hsa-miR-548ap-5p"
"142777","ADAM28","hsa-miR-548av-5p"
"142778","ADAM28","hsa-miR-548l"
"142779","ADAM28","hsa-miR-3609"
"142780","ADAM28","hsa-miR-548at-5p"
"142781","ADAM28","hsa-miR-561-3p"
"142782","ADAM28","hsa-miR-5692a"
"142783","ADAM28","hsa-miR-551b-5p"
"142784","ADAM28","hsa-miR-3646"
"142785","ADAM28","hsa-miR-1252-3p"
"142786","ADAM28","hsa-miR-4694-3p"
"142787","ADAM28","hsa-miR-10a-3p"
"142788","ADAM28","hsa-miR-3606-3p"
"142789","ADAM28","hsa-miR-495-3p"
"142790","ADAM28","hsa-miR-7-1-3p"
"142791","ADAM28","hsa-miR-4803"
"142792","ADAM28","hsa-miR-543"
"142793","ADAM28","hsa-miR-652-5p"
"142794","ADAM28","hsa-miR-6732-3p"
"142795","ADAM28","hsa-miR-3129-3p"
"142796","ADAM28","hsa-miR-582-3p"
"142797","ADAM28","hsa-miR-6507-5p"
"142798","ADAM28","hsa-miR-8087"
"142799","ADAM28","hsa-miR-3156-5p"
"142800","ADAM28","hsa-miR-99a-3p"
"142801","ADAM28","hsa-miR-6796-3p"
"142802","ADAM28","hsa-miR-320e"
"142803","ADAM28","hsa-miR-651-3p"
"142804","ADAM28","hsa-miR-4428"
"142805","ADAM28","hsa-miR-3173-3p"
"142806","ADAM28","hsa-miR-541-5p"
"142807","ADAM28","hsa-miR-4753-5p"
"142808","ADAM28","hsa-miR-548ba"
"142809","ADAM28","hsa-miR-562"
"142810","ADAM28","hsa-miR-3184-3p"
"142811","ADAM28","hsa-miR-1264"
"142812","ADAM28","hsa-miR-595"
"142813","ADAM28","hsa-miR-495-5p"
"142814","ADAM28","hsa-miR-382-5p"
