"name","selected","shared name","type"
"hsa-miR-575","false","hsa-miR-575","miRNA"
"hsa-miR-3614-3p","false","hsa-miR-3614-3p","miRNA"
"hsa-miR-6854-5p","false","hsa-miR-6854-5p","miRNA"
"hsa-miR-4496","false","hsa-miR-4496","miRNA"
"hsa-miR-3914","false","hsa-miR-3914","miRNA"
"hsa-miR-4759","false","hsa-miR-4759","miRNA"
"hsa-miR-3169","false","hsa-miR-3169","miRNA"
"hsa-miR-8083","false","hsa-miR-8083","miRNA"
"hsa-miR-6888-5p","false","hsa-miR-6888-5p","miRNA"
"hsa-miR-2392","false","hsa-miR-2392","miRNA"
"hsa-miR-1265","false","hsa-miR-1265","miRNA"
"hsa-miR-3159","false","hsa-miR-3159","miRNA"
"hsa-miR-4717-5p","false","hsa-miR-4717-5p","miRNA"
"hsa-miR-15a-3p","false","hsa-miR-15a-3p","miRNA"
"hsa-miR-3929","false","hsa-miR-3929","miRNA"
"hsa-miR-5584-5p","false","hsa-miR-5584-5p","miRNA"
"hsa-miR-6760-5p","false","hsa-miR-6760-5p","miRNA"
"hsa-miR-4739","false","hsa-miR-4739","miRNA"
"hsa-miR-6757-5p","false","hsa-miR-6757-5p","miRNA"
"hsa-miR-4436b-3p","false","hsa-miR-4436b-3p","miRNA"
"hsa-miR-6813-5p","false","hsa-miR-6813-5p","miRNA"
"hsa-miR-4716-3p","false","hsa-miR-4716-3p","miRNA"
"hsa-miR-1182","false","hsa-miR-1182","miRNA"
"hsa-miR-1193","false","hsa-miR-1193","miRNA"
"hsa-miR-154-5p","false","hsa-miR-154-5p","miRNA"
"hsa-miR-4464","false","hsa-miR-4464","miRNA"
"hsa-miR-329-5p","false","hsa-miR-329-5p","miRNA"
"hsa-miR-624-5p","false","hsa-miR-624-5p","miRNA"
"hsa-miR-411-5p.1","false","hsa-miR-411-5p.1","miRNA"
"hsa-miR-8079","false","hsa-miR-8079","miRNA"
"hsa-miR-8062","false","hsa-miR-8062","miRNA"
"hsa-miR-519e-3p","false","hsa-miR-519e-3p","miRNA"
"hsa-miR-4280","false","hsa-miR-4280","miRNA"
"hsa-miR-648","false","hsa-miR-648","miRNA"
"hsa-miR-4255","false","hsa-miR-4255","miRNA"
"hsa-miR-101-5p","false","hsa-miR-101-5p","miRNA"
"hsa-miR-3168","false","hsa-miR-3168","miRNA"
"hsa-miR-6874-3p","false","hsa-miR-6874-3p","miRNA"
"hsa-miR-5584-3p","false","hsa-miR-5584-3p","miRNA"
"hsa-miR-4259","false","hsa-miR-4259","miRNA"
"hsa-miR-3163","false","hsa-miR-3163","miRNA"
"hsa-miR-369-3p","false","hsa-miR-369-3p","miRNA"
"hsa-miR-5692b","false","hsa-miR-5692b","miRNA"
"hsa-miR-381-3p","false","hsa-miR-381-3p","miRNA"
"hsa-miR-4666a-3p","false","hsa-miR-4666a-3p","miRNA"
"hsa-miR-3651","false","hsa-miR-3651","miRNA"
"hsa-miR-7705","false","hsa-miR-7705","miRNA"
"hsa-miR-135a-3p","false","hsa-miR-135a-3p","miRNA"
"hsa-miR-410-3p","false","hsa-miR-410-3p","miRNA"
"hsa-miR-5011-5p","false","hsa-miR-5011-5p","miRNA"
"hsa-miR-8076","false","hsa-miR-8076","miRNA"
"hsa-miR-2115-3p","false","hsa-miR-2115-3p","miRNA"
"hsa-miR-3617-3p","false","hsa-miR-3617-3p","miRNA"
"hsa-miR-5094","false","hsa-miR-5094","miRNA"
"hsa-miR-154-3p","false","hsa-miR-154-3p","miRNA"
"hsa-miR-2681-3p","false","hsa-miR-2681-3p","miRNA"
"hsa-miR-382-3p","false","hsa-miR-382-3p","miRNA"
"hsa-miR-5586-5p","false","hsa-miR-5586-5p","miRNA"
"hsa-miR-4733-5p","false","hsa-miR-4733-5p","miRNA"
"hsa-miR-188-5p","false","hsa-miR-188-5p","miRNA"
"hsa-miR-362-5p","false","hsa-miR-362-5p","miRNA"
"hsa-miR-501-5p","false","hsa-miR-501-5p","miRNA"
"hsa-miR-3200-5p","false","hsa-miR-3200-5p","miRNA"
"hsa-miR-3126-3p","false","hsa-miR-3126-3p","miRNA"
"hsa-miR-1298-3p","false","hsa-miR-1298-3p","miRNA"
"hsa-miR-200a-5p","false","hsa-miR-200a-5p","miRNA"
"hsa-miR-141-5p","false","hsa-miR-141-5p","miRNA"
"hsa-miR-4712-3p","false","hsa-miR-4712-3p","miRNA"
"hsa-miR-1272","false","hsa-miR-1272","miRNA"
"hsa-miR-1322","false","hsa-miR-1322","miRNA"
"hsa-miR-501-3p","false","hsa-miR-501-3p","miRNA"
"hsa-miR-3146","false","hsa-miR-3146","miRNA"
"hsa-miR-3688-3p","false","hsa-miR-3688-3p","miRNA"
"hsa-miR-1246","false","hsa-miR-1246","miRNA"
"hsa-miR-889-5p","false","hsa-miR-889-5p","miRNA"
"hsa-miR-5579-5p","false","hsa-miR-5579-5p","miRNA"
"hsa-miR-218-2-3p","false","hsa-miR-218-2-3p","miRNA"
"hsa-miR-758-5p","false","hsa-miR-758-5p","miRNA"
"hsa-miR-4495","false","hsa-miR-4495","miRNA"
"hsa-miR-4657","false","hsa-miR-4657","miRNA"
"hsa-miR-511-3p","false","hsa-miR-511-3p","miRNA"
"hsa-miR-4307","false","hsa-miR-4307","miRNA"
"hsa-miR-6504-3p","false","hsa-miR-6504-3p","miRNA"
"hsa-miR-892c-5p","false","hsa-miR-892c-5p","miRNA"
"hsa-miR-506-5p","false","hsa-miR-506-5p","miRNA"
"hsa-miR-3938","false","hsa-miR-3938","miRNA"
"hsa-miR-4778-5p","false","hsa-miR-4778-5p","miRNA"
"hsa-miR-4461","false","hsa-miR-4461","miRNA"
"hsa-miR-4699-3p","false","hsa-miR-4699-3p","miRNA"
"hsa-miR-205-3p","false","hsa-miR-205-3p","miRNA"
"hsa-miR-5002-5p","false","hsa-miR-5002-5p","miRNA"
"hsa-miR-3613-3p","false","hsa-miR-3613-3p","miRNA"
"hsa-miR-1323","false","hsa-miR-1323","miRNA"
"hsa-miR-8063","false","hsa-miR-8063","miRNA"
"hsa-miR-4698","false","hsa-miR-4698","miRNA"
"hsa-miR-6715a-3p","false","hsa-miR-6715a-3p","miRNA"
"hsa-miR-330-3p","false","hsa-miR-330-3p","miRNA"
"hsa-miR-3973","false","hsa-miR-3973","miRNA"
"hsa-miR-520g-3p","false","hsa-miR-520g-3p","miRNA"
"hsa-miR-4762-5p","false","hsa-miR-4762-5p","miRNA"
"hsa-miR-105-5p","false","hsa-miR-105-5p","miRNA"
"hsa-miR-335-5p","false","hsa-miR-335-5p","miRNA"
"hsa-miR-6830-5p","false","hsa-miR-6830-5p","miRNA"
"hsa-miR-4761-5p","false","hsa-miR-4761-5p","miRNA"
"hsa-miR-6513-3p","false","hsa-miR-6513-3p","miRNA"
"hsa-miR-95-5p","false","hsa-miR-95-5p","miRNA"
"hsa-miR-16-2-3p","false","hsa-miR-16-2-3p","miRNA"
"hsa-miR-4275","false","hsa-miR-4275","miRNA"
"hsa-miR-4457","false","hsa-miR-4457","miRNA"
"hsa-miR-125b-2-3p","false","hsa-miR-125b-2-3p","miRNA"
"hsa-miR-4717-3p","false","hsa-miR-4717-3p","miRNA"
"hsa-miR-1226-3p","false","hsa-miR-1226-3p","miRNA"
"hsa-miR-4733-3p","false","hsa-miR-4733-3p","miRNA"
"hsa-miR-500b-3p","false","hsa-miR-500b-3p","miRNA"
"hsa-miR-6760-3p","false","hsa-miR-6760-3p","miRNA"
"hsa-miR-1208","false","hsa-miR-1208","miRNA"
"hsa-miR-3919","false","hsa-miR-3919","miRNA"
"hsa-miR-4756-3p","false","hsa-miR-4756-3p","miRNA"
"hsa-miR-759","false","hsa-miR-759","miRNA"
"hsa-miR-1245b-3p","false","hsa-miR-1245b-3p","miRNA"
"hsa-miR-545-3p","false","hsa-miR-545-3p","miRNA"
"hsa-miR-5690","false","hsa-miR-5690","miRNA"
"hsa-miR-1207-3p","false","hsa-miR-1207-3p","miRNA"
"hsa-miR-4459","false","hsa-miR-4459","miRNA"
"hsa-miR-4742-5p","false","hsa-miR-4742-5p","miRNA"
"hsa-miR-6715b-5p","false","hsa-miR-6715b-5p","miRNA"
"hsa-miR-4514","false","hsa-miR-4514","miRNA"
"hsa-miR-4650-5p","false","hsa-miR-4650-5p","miRNA"
"hsa-miR-211-3p","false","hsa-miR-211-3p","miRNA"
"hsa-miR-4441","false","hsa-miR-4441","miRNA"
"hsa-miR-6798-5p","false","hsa-miR-6798-5p","miRNA"
"hsa-miR-6823-5p","false","hsa-miR-6823-5p","miRNA"
"hsa-miR-125a-3p","false","hsa-miR-125a-3p","miRNA"
"hsa-miR-764","false","hsa-miR-764","miRNA"
"hsa-miR-3934-5p","false","hsa-miR-3934-5p","miRNA"
"hsa-miR-16-1-3p","false","hsa-miR-16-1-3p","miRNA"
"hsa-miR-4704-3p","false","hsa-miR-4704-3p","miRNA"
"hsa-miR-5693","false","hsa-miR-5693","miRNA"
"hsa-miR-194-3p","false","hsa-miR-194-3p","miRNA"
"hsa-miR-584-3p","false","hsa-miR-584-3p","miRNA"
"hsa-miR-4277","false","hsa-miR-4277","miRNA"
"hsa-miR-4328","false","hsa-miR-4328","miRNA"
"hsa-miR-6729-3p","false","hsa-miR-6729-3p","miRNA"
"hsa-miR-5196-3p","false","hsa-miR-5196-3p","miRNA"
"hsa-miR-8060","false","hsa-miR-8060","miRNA"
