"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ZBTB43",-0.509520689744146,7.85580861145608,-5.75635381767607,6.75408915486476e-06,0.00107715515834873,3.9161833395902
"POU5F1P4",-0.342574102180244,7.61366582948165,-5.74675896203812,6.91481200377859e-06,0.00108965912492878,3.89389487016448
"ALG6",0.726566652706859,9.0031705484155,5.74182435504679,6.99897835195372e-06,0.00108994678170366,3.88242839087796
"ENG",-1.29327488692529,7.71809782611837,-5.73402304259629,7.13416816424177e-06,0.00109140190934283,3.86429564324078
"SLAMF8",1.46786385799586,8.50988626505269,5.73179720490659,7.17322400187554e-06,0.00109140190934283,3.85912097654163
"IQCE",0.52582514147865,7.88819457569807,5.70094392376387,7.73750531456306e-06,0.00115641943378507,3.78734249225534
"CSNK1G3",0.625738119214261,8.79229916485811,5.69587964556257,7.83434333472861e-06,0.00115641943378507,3.77555183891467
"DAPK3",-0.888942606389549,6.13173830191851,-5.68961370430541,7.95586407486412e-06,0.00115641943378507,3.7609600351405
"SMARCC1",-0.474002111678689,7.42834446228934,-5.68828074755466,7.98196106836308e-06,0.00115641943378507,3.75785542430033
"RFC4",0.671192533346006,7.92889442229277,5.68546553170353,8.03736404836645e-06,0.00115641943378507,3.75129789724073
"DDR2",-0.863547499169409,10.1332775164268,-5.67329712646497,8.28136190807393e-06,0.00117784635358159,3.72294507874444
"TBC1D9",1.05511947991225,9.66465900174234,5.66918650857544,8.36547488182556e-06,0.00117784635358159,3.71336399062215
"ADAMDEC1",2.63090162751777,7.58926187031454,5.66494237410288,8.45322985497097e-06,0.00117784635358159,3.70347001086592
"CLASP2",0.478560524451414,8.76464705353532,5.65560993395855,8.64949472169901e-06,0.0011926391836576,3.68170809548697
"KDM8",0.237884051531709,7.00914571108477,5.64545893338411,8.86822962638597e-06,0.00121019335633475,3.6580280755942
"OAS2",0.928255960186681,8.76576837758738,5.63806728017436,9.03103016561092e-06,0.00121815603578689,3.64077891050306
"IGHG1",2.9127215123313,12.7058967991712,5.63173599311921,9.17288556862493e-06,0.00121815603578689,3.62600015913083
"CRTAM",0.646614020715768,5.26986314947905,5.63041974137807,9.20265948316759e-06,0.00121815603578689,3.62292724154432
"APOBEC3G",1.32557510482165,7.73402537234774,5.62492948804156,9.32791138184477e-06,0.00122251052437108,3.61010797755545
"ECT2",0.72159813952233,6.09426155475927,5.61763542276491,9.4969940403883e-06,0.00123246774620216,3.59307265613203
"BTN2A1",0.436910198478566,8.93195731010009,5.59867159733647,9.95128866748596e-06,0.00127888551545157,3.548759691094
"PTMA",-0.386697920957749,12.5698229601609,-5.5928188356792,1.00959008871015e-05,0.00128499461579387,3.53507686214791
"RDH16",-0.354534597556276,7.85239957951444,-5.58694346157279,1.02432158490254e-05,0.00129132807803381,3.52133805034982
"TPD52",1.69258405525428,6.85247221777494,5.57874020360773,1.0452552813543e-05,0.00129198555890705,3.50215057746138
"UPF1",-0.585803199475642,6.87531098095775,-5.57760337289567,1.04819036225069e-05,0.00129198555890705,3.49949104661643
"LRRC15",2.17017695902911,10.1733933301911,5.57531481635739,1.05412435115178e-05,0.00129198555890705,3.49413678808303
"KHSRP",-0.38064029869915,8.57632506828081,-5.55743107909784,1.1016837866039e-05,0.00133788883332806,3.45228031252534
"RC3H2",0.475195719268425,6.63488134661748,5.5453101842594,1.1351492258478e-05,0.00136599730023158,3.42389557345231
"RNF125",1.06300122730054,7.750650874884,5.52654539915116,1.18900311798284e-05,0.00141791299754404,3.37992686998492
"SPAST",0.367089805731082,6.02248769376361,5.51887173738609,1.21176553269535e-05,0.00142744996264736,3.36193756583896
"SEL1L3",1.84851606316588,9.1210613067039,5.5162154189375,1.2197474636522e-05,0.00142744996264736,3.35570920318765
"SKAP2",0.684073528296788,6.60016809733756,5.51210492055838,1.23220419283527e-05,0.00142744996264736,3.34606998603324
"TAF15",-0.612403945278697,8.64303397219707,-5.5032309768128,1.25953777625392e-05,0.00142744996264736,3.32525547446292
"RPS6KC1",0.346604383517965,8.85507605922569,5.50142021695686,1.26519033599786e-05,0.00142744996264736,3.32100737950362
"RTP4",0.897310917427693,7.78211113502103,5.49963148671769,1.27079936416366e-05,0.00142744996264736,3.31681069480489
"ATAD2",0.438949017034377,6.2599961963777,5.49897704524599,1.27285782514395e-05,0.00142744996264736,3.3152751892985
"PKP4",-0.607879695123053,6.25822037068077,-5.49568284520629,1.2832707226338e-05,0.00142744996264736,3.30754551295221
"GBP1",1.67924193515467,9.70519828601622,5.48705157645675,1.31096520448669e-05,0.00144610386764919,3.28728835115168
